,-20%,-10%,+0%,+10%,+20%
8yr,219.3062688933453,76.01284142348004,-0.3094343736446561,-43.19635693024286,-69.17933012809527
9yr,272.8157616213709,89.10900284256589,-0.09779998954178026,-46.2718362179653,-72.5070422512899
10yr,335.60051821530953,103.06513201981292,0.09965526946299263,-49.040480573057835,-75.30337223034637
11yr,409.2790151534772,117.92726102703742,0.2813327030427182,-51.534647964736585,-77.66236633453015
12yr,495.71328311406626,133.7446405835288,0.4471240706752617,-53.78388079238077,-79.6618122316125
13yr,597.12741593609,150.57475089068868,0.5976831765878323,-55.81406997925927,-81.36454326303505
14yr,716.1509052901654,168.48164579733026,0.7340944648194494,-57.64833905839512,-82.82182359568425
15yr,855.9455383944827,187.53866387694865,0.8576244840983733,-59.30707305028177,-84.07526214274546
16yr,1020.152394724491,207.82130078433127,0.969656735522431,-60.809056061901636,-85.15937351450934
17yr,1213.1295670607706,229.41456595124868,1.0715343960739325,-62.17080397933306,-86.10216607290381
18yr,1440.038854667198,252.41119253313934,1.1645365580978932,-63.407063361014806,-86.92659826715288
19yr,1707.099023100213,276.91557725289294,1.2498406128502495,-64.53081944749245,-87.65142049938686
20yr,2021.4836459706207,303.03444463434124,1.3285449158100846,-65.5539887488861,-88.29226189889935
21yr,2391.7968002354396,330.88691767886627,1.4016275603850374,-66.48702717113575,-88.86191253192212
22yr,2828.248023495383,360.60222659376876,1.4699619991785653,-67.33924939164763,-89.37094726719072
23yr,3343.159448424366,392.32510109866826,1.5343168468767843,-68.11884890166387,-89.8280934978293
24yr,3950.767192362184,426.20322253314833,1.5953766522817148,-68.8333243662564,-90.24069006978891
25yr,4668.176763403492,462.4009868935493,1.653735313172234,-69.48925529375114,-90.61481989684611
26yr,5515.71718954095,501.09640162336876,1.7099092363750046,-70.09250242659762,-90.95557598819774
27yr,6517.962345203644,542.4884882342122,1.7643445242439242,-70.64822695138832,-91.26722199505235
28yr,7703.340864750416,586.7802141651119,1.8174261535456893,-71.16114970290474,-91.55338685255133
29yr,9106.062268544123,634.1973381726308,1.8694831738020596,-71.63542164849927,-91.81712733863662
30yr,10766.836553509329,684.9841642574376,1.920795675838427,-72.07474692091697,-92.06104266993842
